name,cluster,cluster_name
AmazonBasics AAA Performance Alkaline Batteries (36 Count),0,Pet & Home Essentialss
AmazonBasics Nylon CD/DVD Binder (400 Capacity),4,Accessories
Amazon Echo – White,2,Smart Home Devices & Accessories
Amazon Echo Show - Black,2,Smart Home Devices & Accessories
Echo Spot Pair Kit (Black),2,Smart Home Devices & Accessories
Fire TV Stick Streaming Media Player Pair Kit,2,Smart Home Devices & Accessories
AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,4,Accessories
AmazonBasics Ventilated Adjustable Laptop Stand,4,Accessories
AmazonBasics Backpack for Laptops up to 17-inches,4,Accessories
AmazonBasics 11.6-Inch Laptop Sleeve,4,Accessories
AmazonBasics 15.6-Inch Laptop and Tablet Bag,4,Accessories
AmazonBasics External Hard Drive Case,2,Smart Home Devices & Accessories
Expanding Accordion File Folder Plastic Portable Document Organizer Letter Size,2,Smart Home Devices & Accessories
Cat Litter Box Covered Tray Kitten Extra Large Enclosed Hooded Hidden Toilet,0,Pet & Home Essentialss
Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,4,Accessories
Kindle PowerFast International Charging Kit (for accelerated charging in over 200 countries),4,Accessories
AmazonBasics Silicone Hot Handle Cover/Holder - Red,4,Accessories
Amazon Kindle Charger Power Adapter Wall Charger And Usb Cable Micro Usb Cord,4,Accessories
Amazon Echo (1st Generationcertified) Color:White Free Shipping,4,Accessories
Amazon Tap Smart Assistant Alexaenabled (black) Brand New,4,Accessories
"All-New Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",1,E-Readers & Kids Tablets
AmazonBasics USB 3.0 Cable - A-Male to B-Male - 6 Feet (1.8 Meters),0,Pet & Home Essentialss
"Two Door Top Load Pet Kennel Travel Crate Dog Cat Pet Cage Carrier Box Tray 23""",0,Pet & Home Essentialss
Oem Amazon Kindle Power Usb Adapter Wall Travel Charger Fire/dx/+micro Usb Cable,4,Accessories
AmazonBasics 16-Gauge Speaker Wire - 100 Feet,0,Pet & Home Essentialss
Amazon Echo (2nd Generation) Smart Assistant Oak Finish Priority Shipping,4,Accessories
"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers",1,E-Readers & Kids Tablets
AmazonBasics Nespresso Pod Storage Drawer - 50 Capsule Capacity,4,Accessories
Certified Refurbished Amazon Echo,2,Smart Home Devices & Accessories
"All-new Echo (2nd Generation) with improved sound, powered by Dolby, and a new design Walnut Finish",0,Pet & Home Essentialss
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black",3,Fire Tablets
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case",1,E-Readers & Kids Tablets
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",3,Fire Tablets
